source_address_asn;Organization;meta_destination_address;transmit_time;receive_time;send_receive_time_diff;ixp;type;date;file_type;filename
1916;RNP;200.129.171.62;1650357593659151979;1650357593735468491;76.316512;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.188.77;1650357593661136925;1650357593736165723;75.028798;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.187.129;1650357593661083803;1650357593736728060;75.644257;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.250.255;1650357593664201678;1650357593738229874;74.028196;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.130.28.1;1650357593666850933;1650357593738249348;71.398415;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.137.53.53;1650357593737999133;1650357593738789809;0.790676;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.143.230;1650357593657706365;1650357593743058286;85.351921;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.160.254;1650357593658605694;1650357593743326519;84.720825;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.151.254;1650357593658029801;1650357593743496826;85.467025;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.155.254;1650357593658314496;1650357593744052684;85.738188;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.159.254;1650357593658553341;1650357593744393024;85.839683;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.162.254;1650357593658711468;1650357593744773830;86.062362;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.183.254;1650357593660909896;1650357593746144800;85.234904;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.186.254;1650357593661032277;1650357593746700644;85.668367;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.129.156.126;1650357593658383013;1650357593751017044;92.634031;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.131.13.1;1650357593673105895;1650357593756028009;82.922114;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.131.227.240;1650357593683753376;1650357593760692572;76.939196;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.131.248.1;1650357593684209973;1650357593763053652;78.843679;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.131.237.1;1650357593684002031;1650357593766028181;82.02615;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.131.236.255;1650357593683952568;1650357593766259249;82.306681;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.2.24;1650357593700967986;1650357593770880800;69.912814;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.5.125;1650357593701140308;1650357593771056935;69.916627;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.0.243;1650357593700844419;1650357593771149210;70.304791;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.1.129;1650357593700897284;1650357593771844727;70.947443;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.9.254;1650357593701504754;1650357593771877290;70.372536;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.23.106;1650357593702492649;1650357593772294594;69.801945;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.12.65;1650357593701792992;1650357593772351816;70.558824;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.6.14;1650357593701239112;1650357593772436753;71.197641;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.11.1;1650357593701733093;1650357593772449541;70.716448;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.20.1;1650357593702378204;1650357593773066270;70.688066;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.26.1;1650357593702543566;1650357593773148129;70.604563;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.13.210;1650357593701840600;1650357593773586004;71.745404;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.34.1;1650357593702783857;1650357593773699309;70.915452;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.37.68;1650357593702899101;1650357593774097761;71.19866;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.8.64;1650357593701403197;1650357593774125659;72.722462;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.17.233;1650357593702195784;1650357593774130895;71.935111;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.15.86;1650357593701979438;1650357593774951012;72.971574;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
1916;RNP;200.133.121.1;1650357593704754789;1650357593775225412;70.470623;br-poa;sym;2022-04-19;br-poa /24;IXP-Asymmetry-24_PINGER-br-poa_DRAIN-nl-ens#ipv4,poa,ens_2022-04-19-08h29m.csv
