date,asn,is_up_and_open,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,137367,S,uk-lnd,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,13737,S,us-sea,INCX Global  LLC,Híbrido,asy24,1,2,0,2
2022-05-01 00:00:00,13739,S,us-sea,DataCenter IP,sym,asy24,1,14,0,14
2022-05-01 00:00:00,137831,S,br-gru,Garena,Somente Descartes,asy24,1,2,2,0
2022-05-01 00:00:00,13786,S,br-gru,Seaborn,sym,asy24,1,6,0,6
2022-05-01 00:00:00,13786,S,br-poa,Seaborn,sym,asy24,1,6,0,6
2022-05-01 00:00:00,13786,S,nl-ams,Seaborn Networks,sym,asy24,1,6,0,6
2022-05-01 00:00:00,137991,S,uk-lnd,Lifeway Singapore Pte. Ltd,sym,asy24,1,2,0,2
2022-05-01 00:00:00,137991,S,nl-ams,Lifeway Singapore Pte. Ltd.,sym,asy24,1,2,0,2
2022-05-01 00:00:00,13807,S,us-sea,Great Plains Communications,sym,asy24,1,120,0,120
2022-05-01 00:00:00,138322,S,nl-ams,Afghan Wireless Communications Company,sym,asy24,1,5,0,5
2022-05-01 00:00:00,138915,S,br-gru,Kaopu_Cloud_HK,asy_out,asy24,1,21,16,5
2022-05-01 00:00:00,13896,S,uk-lnd,Fuze,sym,asy24,1,26,0,26
2022-05-01 00:00:00,139341,S,br-gru,Tencent,Somente Descartes,asy24,1,7,7,0
2022-05-01 00:00:00,13984,,nl-ams,SD Data Center,sym,asy24,1,30,0,30
2022-05-01 00:00:00,14026,S,br-gru,"",Sem Redes na Amostra,asy24,1,,,
2022-05-01 00:00:00,14061,S,nl-ams,DigitalOcean,sym,asy24,1,6945,4290,2655
2022-05-01 00:00:00,14127,S,nl-ams,iland,asy_in,asy24,1,131,87,44
2022-05-01 00:00:00,14204,S,br-gru,AllNet,sym,asy24,1,3,0,3
2022-05-01 00:00:00,14282,S,br-gru,PERSIS_TELECOM,sym,asy24,1,15,0,15
2022-05-01 00:00:00,14380,S,us-sea,Opus Interactive,sym,asy24,1,26,0,26
