date,asn,ixp,as_name,type,method,count_of_as,total_nets,total_discarded_nets,total_nets_without_discards
2022-05-01 00:00:00,12329,nl-ams,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,sym,any24,1,33,0,33
2022-05-01 00:00:00,12329,nl-ams,TMR Telekommunikation Mittleres Ruhrgebiet GmbH,sym,asy24,1,33,0,33
2022-05-01 00:00:00,12355,nl-ams,HeLi NET Telekommunikation GmbH & Co. KG,sym,any23,1,111,0,111
2022-05-01 00:00:00,12355,nl-ams,HeLi NET Telekommunikation GmbH & Co. KG,sym,any24,1,110,0,110
2022-05-01 00:00:00,12355,nl-ams,HeLi NET Telekommunikation GmbH & Co. KG,sym,asy23,1,111,0,111
2022-05-01 00:00:00,12355,nl-ams,HeLi NET Telekommunikation GmbH & Co. KG,sym,asy24,1,110,0,110
2022-05-01 00:00:00,12399,nl-ams,ScanPlus Gmbh,sym,any23,1,80,0,80
2022-05-01 00:00:00,12399,uk-lnd,ScanPlus Gmbh,sym,any23,1,80,0,80
2022-05-01 00:00:00,12399,nl-ams,ScanPlus Gmbh,sym,any24,1,80,0,80
2022-05-01 00:00:00,12399,uk-lnd,ScanPlus Gmbh,sym,any24,1,80,0,80
2022-05-01 00:00:00,12399,nl-ams,ScanPlus Gmbh,sym,asy23,1,80,0,80
2022-05-01 00:00:00,12399,uk-lnd,ScanPlus Gmbh,sym,asy23,1,80,0,80
2022-05-01 00:00:00,12399,nl-ams,ScanPlus Gmbh,sym,asy24,1,80,0,80
2022-05-01 00:00:00,12399,uk-lnd,ScanPlus Gmbh,sym,asy24,1,80,0,80
2022-05-01 00:00:00,1241,nl-ams,Forthnet S.A.,sym,any23,1,601,0,601
2022-05-01 00:00:00,1241,nl-ams,Forthnet S.A.,sym,any24,1,609,0,609
2022-05-01 00:00:00,1241,nl-ams,Forthnet S.A.,sym,asy23,1,601,0,601
2022-05-01 00:00:00,1241,nl-ams,Forthnet S.A.,sym,asy24,1,609,0,609
2022-05-01 00:00:00,12414,nl-ams,Solcon Internetdiensten B.V.,sym,any23,1,466,0,466
2022-05-01 00:00:00,12414,nl-ams,Solcon Internetdiensten B.V.,sym,any24,1,467,0,467
2022-05-01 00:00:00,12414,nl-ams,Solcon Internetdiensten B.V.,sym,asy23,1,466,0,466
2022-05-01 00:00:00,12414,nl-ams,Solcon Internetdiensten B.V.,sym,asy24,1,467,0,467
2022-05-01 00:00:00,12440,uk-lnd,Hughes Network Systems Ltd,sym,any23,1,31,0,31
2022-05-01 00:00:00,12440,uk-lnd,Hughes Network Systems Ltd,sym,any24,1,31,0,31
2022-05-01 00:00:00,12440,uk-lnd,Hughes Network Systems Ltd,sym,asy23,1,31,0,31
2022-05-01 00:00:00,12440,uk-lnd,Hughes Network Systems Ltd,sym,asy24,1,31,0,31
2022-05-01 00:00:00,1248,nl-ams,HERE Global BV,sym,any23,1,16,0,16
2022-05-01 00:00:00,1248,nl-ams,HERE Global BV,sym,any24,1,16,0,16
2022-05-01 00:00:00,1248,nl-ams,HERE Global BV,sym,asy23,1,14,0,14
2022-05-01 00:00:00,1248,nl-ams,HERE Global BV,sym,asy24,1,14,0,14
2022-05-01 00:00:00,1248,uk-lnd,HERE Gobal BV,sym,any23,1,16,0,16
2022-05-01 00:00:00,1248,uk-lnd,HERE Gobal BV,sym,any24,1,16,0,16
2022-05-01 00:00:00,1248,uk-lnd,HERE Gobal BV,sym,asy23,1,14,0,14
2022-05-01 00:00:00,1248,uk-lnd,HERE Gobal BV,sym,asy24,1,14,0,14
2022-05-01 00:00:00,12488,uk-lnd,Krystal Hosting Ltd,sym,any23,1,35,2,33
2022-05-01 00:00:00,12488,uk-lnd,Krystal Hosting Ltd,sym,any24,1,35,2,33
2022-05-01 00:00:00,12488,uk-lnd,Krystal Hosting Ltd,sym,asy23,1,35,2,33
2022-05-01 00:00:00,12488,uk-lnd,Krystal Hosting Ltd,sym,asy24,1,35,2,33
2022-05-01 00:00:00,12496,uk-lnd,IDNet,sym,any23,1,47,0,47
2022-05-01 00:00:00,12496,uk-lnd,IDNet,sym,any24,1,47,0,47
2022-05-01 00:00:00,12496,uk-lnd,IDNet,sym,asy23,1,47,0,47
2022-05-01 00:00:00,12496,uk-lnd,IDNet,sym,asy24,1,47,0,47
2022-05-01 00:00:00,12519,uk-lnd,FastNet International Ltd,sym,any23,1,83,0,83
2022-05-01 00:00:00,12519,uk-lnd,FastNet International Ltd,sym,any24,1,83,0,83
2022-05-01 00:00:00,12519,uk-lnd,FastNet International Ltd,sym,asy23,1,83,0,83
2022-05-01 00:00:00,12519,uk-lnd,FastNet International Ltd,sym,asy24,1,83,0,83
2022-05-01 00:00:00,12552,nl-ams,IP-Only Networks,sym,any23,1,1145,3,1142
2022-05-01 00:00:00,12552,nl-ams,IP-Only Networks,sym,any24,1,1147,2,1145
2022-05-01 00:00:00,12552,nl-ams,IP-Only Networks,sym,asy23,1,1141,3,1138
2022-05-01 00:00:00,12552,nl-ams,IP-Only Networks,sym,asy24,1,1143,2,1141
